Recency,Frequency,Monetary,Days_Since_Purchase,Purchase_Rate,Unique_Products,Avg_Basket_Size,Return_Rate,Max_Single_Order,Monetary_Percentile,Cluster,Segment_Name,CLV_Predicted_90d,CLV_Tier
16.0,1,49.5,9.0,0.04,7,50.0,0.0,115.5,0.42894248608534324,0,Champions,110.1,📉 Low
0.0,0,0.0,33.0,0.0,1,16.0,0.0,175.2,0.41855287569573285,0,Champions,0.0,💤 Churned
0.0,0,0.0,187.0,0.0,17,96.0,0.0,162.7,0.41855287569573285,0,Champions,0.0,💤 Churned
170.0,2,111.98,44.0,0.009345794392523364,73,439.3333333333333,0.0,1053.79,0.4671614100185529,0,Champions,279.14,💰 Mid
63.0,1,168.1,79.0,0.007042253521126761,24,79.0,0.0,335.5,0.548051948051948,0,Champions,179.61,💰 Mid
0.0,0,0.0,282.0,0.0,3,96.0,0.0,37.2,0.41855287569573285,0,Champions,0.0,💤 Churned
0.0,0,0.0,155.0,0.0,14,88.0,0.0,266.4,0.41855287569573285,0,Champions,0.0,💤 Churned
0.0,0,0.0,16.0,0.0,10,216.0,0.0,725.6400000000001,0.41855287569573285,0,Champions,0.0,💤 Churned
278.0,3,248.08333333333334,5.0,0.01060070671378092,24,87.8,0.0,335.8,0.6448979591836734,0,Champions,264.32,💰 Mid
56.0,1,404.29,156.0,0.0047169811320754715,107,128.66666666666666,0.0,597.3,0.8267161410018553,0,Champions,388.73,💰 Mid
0.0,0,0.0,233.0,0.0,11,94.0,0.0,225.6,0.41855287569573285,0,Champions,0.0,💤 Churned
0.0,0,0.0,102.0,0.0,2,2.0,0.0,9.2,0.41855287569573285,0,Champions,0.0,💤 Churned
29.0,1,143.0,247.0,0.0036231884057971015,10,177.0,0.0,258.9,0.5131725417439703,0,Champions,0.0,💤 Churned
0.0,0,0.0,261.0,0.0,1,39.0,0.0,134.55,0.41855287569573285,0,Champions,0.0,💤 Churned
0.0,0,0.0,194.0,0.0,14,133.0,0.0,249.57,0.41855287569573285,0,Champions,0.0,💤 Churned
37.0,1,179.10000000000002,239.0,0.0036231884057971015,9,45.0,0.0,179.10000000000002,0.5614100185528756,0,Champions,0.0,💤 Churned
0.0,0,0.0,243.0,0.0,19,249.0,0.0,332.41,0.41855287569573285,0,Champions,0.0,💤 Churned
0.0,0,0.0,242.0,0.0,8,90.0,0.0,153.9,0.41855287569573285,0,Champions,0.0,💤 Churned
110.0,2,91.05,18.0,0.015625,14,68.66666666666667,0.0,236.0,0.4489795918367347,0,Champions,132.31,📉 Low
265.0,4,251.0675,10.0,0.014545454545454545,51,112.2,0.0,402.32,0.6478664192949907,0,Champions,454.77,💰 Mid
222.0,2,261.36,5.0,0.00881057268722467,78,182.0,0.0,299.67,0.6593692022263451,0,Champions,317.11,💰 Mid
0.0,0,0.0,52.0,0.0,38,309.0,0.0,599.68,0.41855287569573285,0,Champions,316.06,💰 Mid
0.0,0,0.0,26.0,0.0,14,125.0,0.0,234.17,0.41855287569573285,0,Champions,0.0,💤 Churned
0.0,0,0.0,71.0,0.0,9,246.0,0.0,345.29999999999995,0.41855287569573285,0,Champions,0.0,💤 Churned
1.0,1,9.75,71.0,0.013888888888888888,15,22.5,0.0,91.22,0.42003710575139147,0,Champions,0.0,💤 Churned
37.0,1,444.90000000000003,44.0,0.012345679012345678,42,193.0,0.0,444.90000000000003,0.8545454545454545,0,Champions,499.92,💰 Mid
1.0,1,101.76,73.0,0.013513513513513514,2,240.0,0.0,407.04,0.45343228200371055,0,Champions,0.0,💤 Churned
0.0,0,0.0,169.0,0.0,18,39.0,0.0,170.95,0.41855287569573285,0,Champions,0.0,💤 Churned
0.0,0,0.0,135.0,0.0,6,90.0,0.0,314.22,0.41855287569573285,0,Champions,0.0,💤 Churned
37.0,1,121.80000000000001,150.0,0.0053475935828877,24,40.5,0.0,121.80000000000001,0.48348794063079775,0,Champions,0.0,💤 Churned
54.0,3,68.62,220.0,0.010948905109489052,35,36.8,0.0,125.56,0.43673469387755104,0,Champions,0.0,💤 Churned
0.0,0,0.0,233.0,0.0,4,56.0,0.0,114.68,0.41855287569573285,0,Champions,0.0,💤 Churned
0.0,0,0.0,39.0,0.0,43,76.0,0.0,114.92,0.41855287569573285,0,Champions,136.2,📉 Low
34.0,1,200.17000000000002,93.0,0.007874015748031496,20,71.5,0.0,200.17000000000002,0.5910946196660483,0,Champions,166.37,💰 Mid
63.0,1,303.82,128.0,0.005235602094240838,24,42.5,0.0,303.82,0.7087198515769945,0,Champions,210.78,💰 Mid
0.0,0,0.0,128.0,0.0,7,272.0,0.0,306.72,0.41855287569573285,0,Champions,0.0,💤 Churned
0.0,0,0.0,6.0,0.0,40,337.0,0.0,347.5,0.41855287569573285,0,Champions,219.04,💰 Mid
0.0,0,0.0,269.0,0.0,9,82.0,0.0,422.70000000000005,0.41855287569573285,0,Champions,0.0,💤 Churned
0.0,0,0.0,82.0,0.0,20,220.0,0.0,532.94,0.41855287569573285,0,Champions,0.0,💤 Churned
0.0,0,0.0,158.0,0.0,2,120.0,0.0,594.0,0.41855287569573285,0,Champions,0.0,💤 Churned
0.0,0,0.0,179.0,0.0,50,252.0,0.0,283.73,0.41855287569573285,0,Champions,0.0,💤 Churned
0.0,0,0.0,177.0,0.0,4,31.0,0.0,62.85,0.41855287569573285,0,Champions,0.0,💤 Churned
91.0,1,413.33,151.0,0.004132231404958678,158,251.66666666666666,0.0,421.95,0.8330241187384044,0,Champions,460.54,💰 Mid
0.0,0,0.0,176.0,0.0,13,581.0,0.0,752.4300000000001,0.41855287569573285,0,Champions,0.0,💤 Churned
128.0,2,375.18,52.0,0.011111111111111112,57,259.3333333333333,0.0,469.76,0.8037105751391466,0,Champions,544.81,💰 Mid
0.0,0,0.0,48.0,0.0,8,94.0,0.0,197.9,0.41855287569573285,0,Champions,0.0,💤 Churned
